서울,관용,자가용,영업용,계,말소,실제대수
`2010-01-01,10521,2729799,215977,2956297,8069,2948228
`2010-02-01,10567,2734111,216815,2961493,6948,2954545
`2010-03-01,10625,2736078,217805,2964508,8607,2955901
`2010-04-01,10735,2739234,218088,2968057,7769,2960288
`2010-05-01,10696,2734013,218591,2963300,7773,2955527
`2010-06-01,10666,2738845,218824,2968335,8458,2959877
`2010-07-01,10852,2742743,218818,2972413,8014,2964399
`2010-08-01,10867,2744448,218554,2973869,8165,2965704
`2010-09-01,10664,2749525,219188,2979377,8147,2971230
`2010-10-01,10648,2753508,219554,2983710,8997,2974713
`2010-11-01,10574,2754549,219445,2984568,8680,2975888
`2010-12-01,10499,2751620,219281,2981400,9674,2971726
`2011-01-01,10487,2761341,219345,2991173,8566,2982607
`2011-02-01,10487,2762119,219800,2992406,7938,2984468
`2011-03-01,10479,2764495,220852,2995826,10061,2985765
`2011-04-01,10557,2767405,221769,2999731,8701,2991030
`2011-05-01,10721,2766248,222433,2999402,9639,2989763
`2011-06-01,10656,2767253,221742,2999651,9739,2989912
`2011-07-01,10704,2769803,219531,3000038,9857,2990181
`2011-08-01,10707,2766887,218591,2996185,11522,2984663
`2011-09-01,10711,2769073,217841,2997625,9876,2987749
`2011-10-01,10811,2767824,216616,2995251,9879,2985372
`2011-11-01,10948,2762917,212409,2986274,9950,2976324
`2011-12-01,10815,2756126,210658,2977599,10350,2967249
`2012-01-01,10727,2761512,208217,2980456,9549,2970907
`2012-02-01,10649,2760526,207376,2978551,10405,2968146
`2012-03-01,"10,620","2,759,618","206,369","2,976,607",10862,2965745
`2012-04-01,"10,723","2,759,047","204,031","2,973,801",10309,2963492
`2012-05-01,10703,2758106,204431,2973240,11180,2962060
`2012-06-01,"10,741","2,759,696","204,026","2,974,463",9877,2964586
`2012-07-01,"10,774","2,760,839","203,269","2,974,882",10239,2964643
`2012-08-01,"10,780","2,757,992","200,880","2,969,652",9243,2960409
`2012-09-01,"10,849","2,760,096","199,768","2,970,713",9290,2961423
`2012-10-01,"10,824","2,761,258","198,942","2,971,024",9677,2961347
`2012-11-01,"10,900","2,763,089","199,331","2,973,320",8605,2964715
`2012-12-01,"10,858","2,759,567","198,759","2,969,184",8918,2960266
`2013-01-01,"10,762","2,764,418","198,624","2,973,804",9417,2964387
`2013-02-01,"10,771","2,764,593","198,417","2,973,781",7921,2965860
`2013-03-01,"10,742","2,763,997","198,479","2,973,218",9124,2964094
`2013-04-01,"10,728","2,765,186","197,821","2,973,735",9480,2964255
`2013-05-01,"10,861","2,765,856","199,027","2,975,744",9494,2966250
`2013-06-01,"10,980","2,765,632","199,431","2,976,043",8980,2967063
`2013-07-01,"11,022","2,768,796","199,440","2,979,258",10117,2969141
`2013-08-01,"11,038","2,769,147","197,139","2,977,324",9439,2967885
`2013-09-01,"10,957","2,770,824","196,714","2,978,495",7933,2970562
`2013-10-01,"10,895","2,772,863","196,076","2,979,834",9711,2970123
`2013-11-01,"10,864","2,772,744","195,361","2,978,969",8855,2970114
`2013-12-01,"10,892","2,768,769","194,216","2,973,877",8847,2965030
`2014-01-01,"10,882","2,776,127","194,254","2,981,263",7990,2973273
`2014-02-01,"10,904","2,777,726","194,028","2,982,658",7896,2974762
`2014-03-01,"10,888","2,779,613","192,947","2,983,448",8401,2975047
`2014-04-01,"10,933","2,783,139","193,125","2,987,197",8481,2978716
`2014-05-01,"10,969","2,785,397","193,645","2,990,011",8357,2981654
`2014-06-01,"11,022","2,789,368","193,870","2,994,260",7967,2986293
`2014-07-01,"11,014","2,794,457","194,202","2,999,673",9036,2990637
`2014-08-01,"11,057","2,797,807","194,436","3,003,300",7397,2995903
`2014-09-01,"11,134","2,801,447","194,200","3,006,781",8114,2998667
`2014-10-01,"11,254","2,802,827","194,282","3,008,363",8737,2999626
`2014-11-01,"11,208","2,807,136","194,451","3,012,795",7326,3005469
`2014-12-01,"11,178","2,806,469","195,894","3,013,541",9109,3004432
`2015-01-01,"11,068","2,814,891","195,729","3,021,688",7671,3014017
`2015-02-01,"11,017","2,817,576","195,193","3,023,786",5994,3017792
`2015-03-01,"10,914","2,818,417","195,060","3,024,391",8998,3015393
`2015-04-01,"10,934","2,820,672","195,351","3,026,957",8638,3018319
